iter	MultiClass
0	1.034052024
1	0.9725096736
2	0.9197284682
3	0.8715387751
4	0.8191462413
5	0.7765475682
6	0.737242109
7	0.7056903118
8	0.6726656705
9	0.6475026601
10	0.6199040826
11	0.5983898072
12	0.5691804322
13	0.5440823119
14	0.5205938784
15	0.4996920187
16	0.4806923143
17	0.4610966716
18	0.441581906
19	0.4256252583
20	0.4112357825
21	0.3996484276
22	0.3870380777
23	0.3727533431
24	0.3641066397
25	0.3523822248
26	0.3404891056
27	0.3298675874
28	0.3192107381
29	0.3100373083
30	0.2992827076
31	0.2905478889
32	0.2814207811
33	0.2747434987
34	0.2663054248
35	0.2606085385
36	0.25325595
37	0.2469279888
38	0.2375669159
39	0.2309209763
40	0.2225685606
41	0.217195127
42	0.211929791
43	0.2082131925
44	0.2025854695
45	0.196504388
46	0.1909825115
47	0.1853958962
48	0.1801484202
49	0.1761743499
50	0.1711337516
51	0.166604809
52	0.1620878987
53	0.1584428177
54	0.1553408074
55	0.1519379951
56	0.1488414901
57	0.1469941547
58	0.1435419348
59	0.140434318
60	0.137600347
61	0.1348321149
62	0.1319902768
63	0.1295164685
64	0.1270930821
65	0.1237856465
66	0.1213867497
67	0.119100713
68	0.1164883953
69	0.1146871773
70	0.1125583055
71	0.1106474139
72	0.1083921963
73	0.1062118029
74	0.1043642807
75	0.1021480722
76	0.1004090185
77	0.09858523066
78	0.09741665232
79	0.09584876389
80	0.09456794199
81	0.09337323559
82	0.09212463864
83	0.09092804483
84	0.08933088408
85	0.08818371011
86	0.08656369679
87	0.0851914894
88	0.08379641782
89	0.08258572081
90	0.08147634705
91	0.0798441541
92	0.07853299999
93	0.07746840423
94	0.07659178223
95	0.07538354797
96	0.07442968915
97	0.07350574036
98	0.07237935583
99	0.07122944835
100	0.07028549298
101	0.06928999065
102	0.06840875051
103	0.06701975819
104	0.06606184934
105	0.06535950442
106	0.06448180087
107	0.0634518452
108	0.06258411136
109	0.06184785753
110	0.06110825952
111	0.06024330587
112	0.05961173031
113	0.05872122415
114	0.05787312671
115	0.05726419696
116	0.05653568977
117	0.05604142653
118	0.05537032687
119	0.05486301797
120	0.05434274737
121	0.05355383516
122	0.05279506327
123	0.05223134653
124	0.05179292598
125	0.05121560909
126	0.05077550509
127	0.05022287615
128	0.0495693811
129	0.0490276459
130	0.04839091275
131	0.04793803569
132	0.04749494947
133	0.04704164855
134	0.04662210001
135	0.04617278773
136	0.04552741618
137	0.04493980026
138	0.04461581141
139	0.04427927539
140	0.04390007906
141	0.04351338794
142	0.04308395319
143	0.04265488577
144	0.04213946805
145	0.04183021572
146	0.04134638248
147	0.04094202372
148	0.04051617084
149	0.04007348047
150	0.03969342137
151	0.03947189627
152	0.03921547812
153	0.0387106052
154	0.0383394123
155	0.03805239331
156	0.03761951594
157	0.03741190368
158	0.03706346388
159	0.03673315062
160	0.03640407854
161	0.03617335656
162	0.03589261026
163	0.03554145777
164	0.03526844384
165	0.03505250908
166	0.03477239294
167	0.03443516583
168	0.03423080665
169	0.03403114006
170	0.03382005792
171	0.03352559708
172	0.03316982429
173	0.0329115536
174	0.03264267104
175	0.0324620558
176	0.03225130786
177	0.03204489941
178	0.03182363003
179	0.03156390551
